"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW6";"TST-A002_0.6MM_BOSS";1;"Battery Status";;;
2;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"Bottom";;;
3;"C5,C3,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"22uF";;;
4;"R20,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"47";;;
5;"R16,R9,R6,R7,R13,R10,R11,R15,R8,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"10k";;;
6;"U1";"BTM308";1;"Bluetooth Module";;;
7;"R2,R5,R1,R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1k";;;
8;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
9;"R17,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
10;"C12,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uf";;;
11;"J7,J4";"PinHeader_1x01_P2.54mm_Vertical";2;"Battery -";;;
12;"D3";"D_SMA";1;"SMAJ6.0A";;;
13;"U2";"SOIC-8_5.3x5.3mm_P1.27mm";1;"OPA1678";;;
14;"SW1";"TST-A002_0.6MM_BOSS";1;"PLAY";;;
15;"J6,J3";"PinHeader_1x01_P2.54mm_Vertical";2;"Battery +";;;
16;"SW2";"TST-A002_0.6MM_BOSS";1;"VOL-";;;
17;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
18;"C8,C6,C7,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1uF";;;
19;"SW3";"TST-A002_0.6MM_BOSS";1;"VOL+";;;
20;"U3";"PJ-320A";1;"PJ-320A";;;
21;"C11,C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"220uF";;;
22;"R14,R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"0";;;
23;"J5";"PinHeader_2x05_P2.54mm_Vertical";1;"Top";;;
24;"SW4";"SLW8645745ARAND";1;"ON/OFF";;;
25;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
26;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"BLUE";;;
